"x"
"1";"Para quem paz e tranquilidade esse é o lugar.A ilha tem pouca infra estrutura, com pousadas simples e pequenos mercados. Praticamente não há restaurantes. Não deixe de alugar uma bike e passear pela ilha. "
"2";"Vale mais o passeio de voadeira do que a praia em si. Praia deserta logo após um trecho de caminhada , mas com muito lixo ao longo da praia ( problema que encontramos em qualquer lugar do planeja devido a quantidade de plástico no oceano). Vale para conhecer mas não é imperdível . Fomos de voadeira fretada a um custo de 350 reais "
"3";"O Parque Nacional do Superagui abrange, além da Ilha do Superagui, a Ilha das Peças, a Ilha do Pinheiro e a Ilha do Pinheirinho e também uma área continental. A maior infraestrutura está na Barra do Superagui na Ilha do Superagui. Nessa ilha, uma caminhada até a Praia Deserta é um roteiro bacana. Também não pode ficar de fora um passeio de barco até a Vila de Barbados para um almoço de frutos do mar e à Ilha do Pinheiro para ver os chauás ao final da tarde. Só evite o mês de novembro e o início de dezembro por conta das mutucas. Particularmente, evitaria o verão, pois é muito calor e a maioria das hospedagens não tem ar condicionado."
"4";"Lugar tranquilo, onde podemos desfrutar do contato direto com a natureza e caminhar na praia ouvindo apenas o marulhar das ondas."
"5";"Lugar agradável, especial pra quem paz e sossego fora de datas festivas como Natal e Ano Novo (quando enche como qualquer praia). Natureza rústica e ainda preservada apesar da quantidade de casas e construções. Vale pela paz e pela possibilidade de descanso e praias desertas e tranquilas"
"6";"O ilha em si é maravilhosa. Contato total com a natureza, belíssimas paisagens... Em relação à estrutura, não se pode esperar muita coisa, pois é uma vila de pescadores, sem atividade turística profissional. Nós ficamos na pousada praia mansa. Quartos bons (de madeira),  café da manhã bacana e atendimento super legal do Agnaldo e sua família. Enfim,com certeza indico a pousada !!Nós fizemos com ele o passeio até a cachoeira e fomos ver os papagaios de cara roxa (50 reais por pessoa). Excelente aventura e belíssimas paisagens.Único inconveniente que tivemos foi na hora de locar as bikes p/ o passeio na praia deserta. Encontramos 2 locais para locação: um junto a um restaurante e outro na praia (com um tal de japa). Optamos pelo japa por ter bikes em melhores condições. Combinamos de pegar as bikes às 7h30 por 100 reais por 4 bikes e tempo livre. Acordamos cedo e nada dele... conseguimos iniciar o passeio as 9h00 depois de eu ir até a casa dele p/ chamá-lo. Ee mudou o preço e disse que 100 reais eram por 4 horas :(. Ok, pegamos e fomos fazer o passeio. Na volta (3 h depois), qndo fomos devolver, ele começou a olhar as bicicletas e disse que teríamos que pagar mais 60 reais para limpeza delas, pois estavam molhadas!!! Pode isso?? Reclamei, disse que era ridículo e que não tinha sido avisado da tal taxa. Ele continuou reclamando e dizendo que os turistas são folgados, que querem dar colote.Dica: nunca alugar bike com o tal de japa (se possível, leve a sua).No restante, recomendo fortíssimo o passeio."
"7";"Acho válido usar esse espaço para algumas informações que são difíceis de encontrar:Fora de temporada e feriados:-Transporte: só há um horário de saída de Paranaguá para a ilha: 14h, se você perder, só no outro dia (ou como aconteceu conosco: ter a sorte de ter um morador voltando para a ilha e pegar carona). Volta da ilha para Paranaguá: 7h da manhã, valor por pessoa: R$ 40,00.-Alimentação: os poucos restaurantes que tem abrem somente aos finais de semana. Chegamos em uma segunda-feira e por sorte encontramos o restaurante do Magal servindo algumas porções. Para o almoço, todos precisam de reserva com antecedência. Há pouquíssimos armazéns, então para não correr o risco de ficar sem comer, é bom ir preparado com alguns lanches.-Praia: não há nenhuma estrutura de lanchonete beira-mar, aluguel de cadeiras ou guarda-sol.-Vila: não há grandes estruturas, tudo é muito simples. Não há farmácias, então vale ir com um pequeno kit que inclua repelente e pós-sol. Pouco sinal de celular e poucas pousadas com wifi.-Indico somente para quem quer sossego total.*Sabendo de tudo isso, é só chegar e aproveitar a calmaria que só essa ilha tem!*"
"8";"O lugar é muito bonito, mas demanda de bastante energia para caminhar ou andar de bicicleta (alugada no local) para que se possa apreciar belas paisagens."
"9";"Parque Nacional!! Otimo para interagir com a comunidade local e a Natureza!!! Tradiçoes dos pescadores é atender bem o visitante, muita festa e comidas da região!!"
"10";"Minha viagem foi tão completa! Me hospedei em Guaraqueçaba, fui de barco ao Superagui e curti a praia mais silenciosa que se poderia imaginar...Para quem gosta de aventuras roots, é um bom lugar para caminhar no vilarejo, conversar com os moradores e ouvir suas histórias da ilha."
