Quadrigrama;Classificação
erosão serra espírito santo;EDUCAÇÃO/APRENDIZADO
não dá vontade sair;EVASÃO
forma erosão serra espírito;EDUCAÇÃO/APRENDIZADO
artesanato feito capim dourado;ENTRETENIMENTO
trilha serra espírito santo;ENTRETENIMENTO
não pode deixe conhecer;EVASÃO
não possível entrar água;EDUCAÇÃO/APRENDIZADO
cachoeira grande volume água;ESTETICA/CONTEMPLAÇÃO
duna forma erosão serra;EDUCAÇÃO/APRENDIZADO
pessoa não sabe nadar;ENTRETENIMENTO
pra não sabe nadar;ENTRETENIMENTO
não possível tomar banho;ENTRETENIMENTO
cachoeira linda água cristalina;ESTETICA/CONTEMPLAÇÃO
não quer ir embora;EVASÃO
rio água potável mundo;EDUCAÇÃO/APRENDIZADO
vale pena leve máscara;ENTRETENIMENTO
serra espírito santo fundo;ESTETICA/CONTEMPLAÇÃO
ver pôr sol duna;ESTETICA/CONTEMPLAÇÃO
água cristalina cor verde;ESTETICA/CONTEMPLAÇÃO
cachoeira linda água transparente;ESTETICA/CONTEMPLAÇÃO
madrugada ver nascer sol;ESTETICA/CONTEMPLAÇÃO
não dá tomar banho;EDUCAÇÃO/APRENDIZADO
fundo não dá pé;ENTRETENIMENTO
pôr sol maravilhosa vale;ESTETICA/CONTEMPLAÇÃO
água cristalina vale pena;ESTETICA/CONTEMPLAÇÃO
não esqueça leve lanche;ENTRETENIMENTO
água não deixe afundar;ENTRETENIMENTO
assistir pôr sol duna;ESTETICA/CONTEMPLAÇÃO
vale a pena visita lo;EVASÃO
ir jalapão não visita;ENTRETENIMENTO
não dá pra descrever;EVASÃO
areia não tão quente;ENTRETENIMENTO
jalapão não pra qualquer;-
alimentação água rio novo;ENTRETENIMENTO
loja artesanato capim dourado;ENTRETENIMENTO
viagem jalapão não pra;-
vista serra espírito santo;ESTETICA/CONTEMPLAÇÃO
encontrar artesanato capim dourado;ENTRETENIMENTO
água transparente temperatura agradável;ESTETICA/CONTEMPLAÇÃO
cachoeira linda vi vida;ESTETICA/CONTEMPLAÇÃO
não permitido tomar banho;ENTRETENIMENTO
visita região jalapão não;ENTRETENIMENTO
não pra qualquer pois;-
qualquer pois toda estrada;-
cachoeira impressionante cor água;ESTETICA/CONTEMPLAÇÃO
toda estrada asfalto ideal;EDUCAÇÃO/APRENDIZADO
asfalto ideal carro x;EDUCAÇÃO/APRENDIZADO
não ir jalapão não;ENTRETENIMENTO
dá vontade sair lá;EVASÃO
pôr sol duna não;ESTETICA/CONTEMPLAÇÃO
madrugada assistir nascer sol;ESTETICA/CONTEMPLAÇÃO
bastão caminhada ajudar bastante;ENTRETENIMENTO
água cristalina temperatura água;ESTETICA/CONTEMPLAÇÃO
nascer sol lá cima;ESTETICA/CONTEMPLAÇÃO
vale ressaltar viagem jalapão;ENTRETENIMENTO
rio novo maior rio;EDUCAÇÃO/APRENDIZADO
pois todo estrada asfalto;EDUCAÇÃO/APRENDIZADO
não sabe nadar não;ENTRETENIMENTO
não dá pra entrar;ENTRETENIMENTO
ressaltar viagem jalapão não;ENTRETENIMENTO
vale pena conhecer cachoeira;ENTRETENIMENTO
cristalina cor verde esmeralda;ESTETICA/CONTEMPLAÇÃO
estrada asfalto ideal carro;EDUCAÇÃO/APRENDIZADO
vale pena admirar beleza;ESTETICA/CONTEMPLAÇÃO
cachoeira tão linda água;ESTETICA/CONTEMPLAÇÃO
vale pena leve óculo;ENTRETENIMENTO
cachoeira tão linda água;ESTETICA/CONTEMPLAÇÃO
vontade ficar dia inteiro;EVASÃO
dá pra tomar banho;ENTRETENIMENTO
ver nascer sol subida;ESTETICA/CONTEMPLAÇÃO
não consegue afundar não;ENTRETENIMENTO
vale pena ver sol;ESTETICA/CONTEMPLAÇÃO
cachoeira maravilhosa água cristalina;ESTETICA/CONTEMPLAÇÃO
não pode tomar banho;ENTRETENIMENTO
pra qualquer pois todo;-
ir jalapão não conhecer;ENTRETENIMENTO
todo linda vale pena;ESTETICA/CONTEMPLAÇÃO
nunca vi nada igual;EVASÃO
indicado guia visita spots;ENTRETENIMENTO
reserva parque sombra dúvida;EDUCAÇÃO/APRENDIZADO
vale pena ir conhecer;EVASÃO
devido estado estrada todo;EDUCAÇÃO/APRENDIZADO
forma piscina menor perfeito;ENTRETENIMENTO
criança mente pal afundar;ENTRETENIMENTO
contato natureza renova energia;EVASÃO
grande destreza conhecer parte;ENTRETENIMENTO
água cristalina temperatura perfeito;ESTETICA/CONTEMPLAÇÃO
cachoeira jalapão queda metro;EDUCAÇÃO/APRENDIZADO
cachoeira bonito vale pena;EVASÃO
lá costela vaca não;-
nunca vi água tão;ESTETICA/CONTEMPLAÇÃO
vale pena ser feito;EVASÃO
satisfeita jalapão regional sensacional;EVASÃO
tirar foto apreciar natureza;ESTETICA/CONTEMPLAÇÃO
